# Message Slots — starter word pool
# text,pos,tier,points,tags,semantics,weight
# pos: NOUN VERB ADJ ADV CONJ PREP ART PRON (the six core categories plus articles and pronouns) (pipe-separated for multi-POS)
# tier: common uncommon rare legendary
# semantics (optional, pipe-separated): animate|place|food|object|abstract.
#   For a NOUN: the kind of thing it is. For a VERB: the subject kinds it
#   plausibly takes. Sparse by design — untagged means "no opinion" for the
#   coherence bonus (docs/GAME_LOGIC.md §5.1), never "wrong". Starter pool
#   tags the common/uncommon nouns and verbs only; rare/legendary and
#   adjectives/adverbs are left for a later content pass.
# weight (optional): how often the word surfaces, relative to others of its
#   category. Independent of tier — tier is what a word is *worth*, weight is
#   how often you *see* it. Omitted means 1.0. Mainly for function words, where
#   real usage is wildly uneven ("the" vs "every").
# Target mix per docs/GAME_DESIGN.md §3.1 — 55/30/12/3
#
# ---------- ARTICLES & DETERMINERS (common) ----------
# Weighted by real usage. With all ten equally likely the determiner slot was
# spread so thin that "the" landed on ~6% of spins, and trays read "Friend ate"
# instead of "The friend ate". "the" and "a" carry most of English; the
# possessives and demonstratives are flavour and stay rare.
the,ART,common,1,,,9
a,ART,common,1,,,6
an,ART,common,1,,,2.5
my,ART,common,1,,,1.2
your,ART,common,1,,,1
our,ART,common,1,,,0.8
every,ART,common,1,,,0.6
that,ART,common,1,,,0.9
this,ART,common,1,,,0.9
some,ART,common,1,,,0.8
# ---------- PRONOUNS (common) ----------
i,PRON,common,1,,animate
you,PRON,common,1,,animate
we,PRON,common,1,,animate
they,PRON,common,1,,animate
he,PRON,common,1,,animate
she,PRON,common,1,,animate
# "it" stands in for anything, so it takes every class — found on device, where
# "We levitated." scored no coherence bonus purely because pronouns were untagged.
it,PRON,common,1,,animate|place|food|object|abstract
nobody,PRON,common,2,,animate
everyone,PRON,common,2,,animate
somebody,PRON,common,2,,animate
# ---------- CONJUNCTIONS (story mode fuel) ----------
and,CONJ,common,1,
but,CONJ,common,1,
because,CONJ,common,2,
so,CONJ,common,1,
while,CONJ,common,2,
meanwhile,CONJ,uncommon,4,
suddenly,CONJ|ADV,uncommon,4,
however,CONJ,uncommon,4,
until,CONJ,common,2,
unless,CONJ,uncommon,3,
afterwards,CONJ|ADV,uncommon,4,
therefore,CONJ,uncommon,4,
nevertheless,CONJ,rare,6,
# ---------- PREPOSITIONS ----------
in,PREP,common,1,
on,PREP,common,1,
under,PREP,common,1,
over,PREP,common,1,
behind,PREP,common,2,
inside,PREP,common,2,
beneath,PREP,uncommon,3,
beyond,PREP,uncommon,3,
toward,PREP,common,2,
without,PREP,common,2,
# ---------- COMMON NOUNS ----------
dog,NOUN,common,1,,animate
cat,NOUN,common,1,,animate
bird,NOUN,common,1,,animate
house,NOUN,common,1,,place
car,NOUN,common,1,,object
tree,NOUN,common,1,,object
friend,NOUN,common,1,,animate
moon,NOUN,common,2,,place
sun,NOUN,common,2,,place
river,NOUN,common,2,,place
mountain,NOUN,common,2,,place
city,NOUN,common,2,,place
teacher,NOUN,common,2,,animate
sandwich,NOUN,common,2,,food
robot,NOUN,common,2,,animate
pirate,NOUN,common,2,pirate,animate
ghost,NOUN,common,2,,animate
wizard,NOUN,common,2,,animate
dragon,NOUN,common,2,,animate
grandma,NOUN,common,2,,animate
banana,NOUN,common,2,,food
sock,NOUN,common,2,,object
train,NOUN|VERB,common,2,
dance,NOUN|VERB,common,2,
dream,NOUN|VERB,common,2,
run,NOUN|VERB,common,2,
# ---------- UNCOMMON NOUNS ----------
octopus,NOUN,uncommon,5,,animate
